科技成果转化技术分享交流:初创企业商业模式和运营拓展(217)	初创企业商业模式和运营拓展(839)
科技驱动 创新引领2018医学院士高峰论坛(224)	科技驱动 创新引领2018医学院士高峰论坛(860)
第三届中国社会办医与医院管理高峰论坛(239)	第三届中国社会办医与医院管理高峰论坛(886)
中国医养整合联盟第二届论坛(262)	中国医养整合联盟第二届论坛(961)
科技成果转化技术分享交流·课程的主题是慢病管理分级诊疗(225)	科技成果转化技术分享交流·课程的主题是慢病管理分级诊疗(861)
国家卫生健康委医管中心医疗相关标准（医院后勤管理）宣贯培训会(232)	国家卫生健康委医管中心医疗相关标准（医院后勤管理）宣贯培训会(875)
中国医养整合联盟第二届论坛(262)	中国医养整合联盟第二届论坛(961)
国家卫生健康委医管中心医疗相关标准（医疗机构管理）宣贯培训会(260)	国家卫生健康委医管中心医疗相关标准（医疗机构管理）宣贯培训会(951)
智慧医疗 创新发展——长三角医院协同发展战略联盟高峰论坛(256)	智慧医疗 创新发展——长三角医院协同发展战略联盟高峰论坛(933)
智慧医疗 创新发展——长三角医院协同发展战略联盟高峰论坛(256)	【论坛一】 强院之本 科技助力专科发展(942)
智慧医疗 创新发展——长三角医院协同发展战略联盟高峰论坛(256)	【论坛二】 破旧立新 建立医院运营新机制(943)
智慧医疗 创新发展——长三角医院协同发展战略联盟高峰论坛(256)	【论坛三】 大象善舞 医院集团化管控之道(944)
智慧医疗 创新发展——长三角医院协同发展战略联盟高峰论坛(256)	【论坛四】 永续经营 医院精细化管理实践(945)
智慧医疗 创新发展——长三角医院协同发展战略联盟高峰论坛(256)	【论坛五】 提效扩容 智慧医院创新样本(946)
智慧医疗 创新发展——长三角医院协同发展战略联盟高峰论坛(256)	【论坛六】 同质共赢 赋能医联体建设(947)
自信百年 精神永驻——长青藤百年医院联盟高峰论坛(253)	自信百年 精神永驻——长青藤百年医院联盟高峰论坛(930)
医疗标准（血液）宣贯会(245)	医疗标准（血液）宣贯会(892)
众星齐聚为AI护乳腺发声(244)	众星齐聚为AI护乳腺发声(891)
中国医院科技发展高峰论坛 暨郑州大学第一附属医院建院90周年学术论坛&科技成果展(242)	中国医院科技发展高峰论坛 暨郑州大学第一附属医院建院90周年学术论坛&科技成果展(890)
医疗相关标准（医院感染控制）宣贯会(241)	医疗相关标准（医院感染控制）宣贯会(888)
第三届中国社会办医与医院管理高峰论坛(239)	第三届中国社会办医与医院管理高峰论坛(886)
一带一路院士高峰论坛(237)	一带一路院士高峰论坛(882)
医疗标准（医院感染控制）宣贯会(235)	医疗标准（医院感染控制）宣贯会(879)
全球首次神经影像人工智能人机大赛(230)	全球首次神经影像人工智能人机大赛 6月30日直播来袭(868)
科技成果转化技术分享交流·家庭医生服务的发展方向(229)	科技成果转化技术分享交流·家庭医生服务的发展方向(867)
科技驱动 创新引领2018医学院士高峰论坛(224)	科技驱动 创新引领2018医学院士高峰论坛(860)
科技成果转化技术分享交流·康复医疗的投资观察(222)	康复医疗的投资观察(854)
改善医疗服务行动管理论坛(223)	改善医疗服务行动管理论坛(859)
百川医疗科技成果转化技术分享交流：认知分析在医疗防控领域的应用(221)	百川医疗科技成果转化技术分享交流：认知分析在医疗防控领域的应用(851)
科技成果转化技术分享交流:初创企业商业模式和运营拓展(217)	初创企业商业模式和运营拓展(839)
医联体&分级诊疗系列课程(212)	基于医疗联合体的分级诊疗体系构建(825)
科技成果转化技术分享交流(208)	静安区|基层卫生管理培训课程之人工智能专场(817)
科技成果转化技术分享交流(208)	智能分娩训练仪——创新医疗器械替代传统医疗手术  (827)
医药改革系列课程(207)	药师服务能力培训实践(806)
科技成果转化技术培训：智能化呼吸设备的未来发展趋势和创业机会(198)	科技成果转化技术培训：智能化呼吸设备的未来发展趋势和创业机会(788)
医疗器械软件注册生存周期、注册申报及路径规划(193)	医疗器械软件注册生存周期、注册申报及路径规划(777)
2017医学创新发展与人才培养论坛暨首届昆医附一院院士论坛(189)	2017医学创新发展与人才培养论坛暨首届昆医附一院院士论坛<一>(770)
2017医学创新发展与人才培养论坛暨首届昆医附一院院士论坛(189)	2017医学创新发展与人才培养论坛暨首届昆医附一院院士论坛<二>(771)
2017医学创新发展与人才培养论坛暨首届昆医附一院院士论坛(189)	2017医学创新发展与人才培养论坛暨首届昆医附一院院士论坛<三>(772)
